armyPerception,civilianPerception,myWorld,percentCivilianGlassesWearers,redCrossPerception,totalNumberArmy,totalNumberCivilians,totalNumberRedCross,totalZombified
2.2658203125,4.0337890625,0,0.638671875,3.2103515624999996,10,100,10,16
2.2658203125,4.0337890625,2,0.638671875,3.2103515624999996,10,100,10,8
2.2658203125,4.0337890625,1,0.638671875,3.2103515624999996,10,100,10,3
2.2658203125,4.0337890625,0,0.638671875,3.2103515624999996,10,100,10,21
2.2658203125,4.0337890625,2,0.638671875,3.2103515624999996,10,100,10,5
3.8158203125,2.4837890624999996,2,0.138671875,1.6603515624999998,10,100,10,18
2.2658203125,4.0337890625,1,0.638671875,3.2103515624999996,10,100,10,3
2.2658203125,4.0337890625,0,0.638671875,3.2103515624999996,10,100,10,37
2.2658203125,4.0337890625,2,0.638671875,3.2103515624999996,10,100,10,10
2.2658203125,4.0337890625,1,0.638671875,3.2103515624999996,10,100,10,7
2.2658203125,4.0337890625,0,0.638671875,3.2103515624999996,10,100,10,1
2.2658203125,4.0337890625,2,0.638671875,3.2103515624999996,10,100,10,5
2.2658203125,4.0337890625,1,0.638671875,3.2103515624999996,10,100,10,9
3.8158203125,2.4837890624999996,0,0.138671875,1.6603515624999998,10,100,10,25
2.2658203125,4.0337890625,0,0.638671875,3.2103515624999996,10,100,10,8
2.2658203125,4.0337890625,2,0.638671875,3.2103515624999996,10,100,10,5
2.2658203125,4.0337890625,1,0.638671875,3.2103515624999996,10,100,10,2
2.2658203125,4.0337890625,0,0.638671875,3.2103515624999996,10,100,10,3
2.2658203125,4.0337890625,2,0.638671875,3.2103515624999996,10,100,10,2
2.2658203125,4.0337890625,1,0.638671875,3.2103515624999996,10,100,10,7
3.8158203125,2.4837890624999996,2,0.138671875,1.6603515624999998,10,100,10,16
3.8158203125,2.4837890624999996,1,0.138671875,1.6603515624999998,10,100,10,6
3.8158203125,2.4837890624999996,0,0.138671875,1.6603515624999998,10,100,10,4
3.8158203125,2.4837890624999996,0,0.138671875,1.6603515624999998,10,100,10,10
3.8158203125,2.4837890624999996,2,0.138671875,1.6603515624999998,10,100,10,3
3.8158203125,2.4837890624999996,1,0.138671875,1.6603515624999998,10,100,10,9
3.8158203125,2.4837890624999996,1,0.138671875,1.6603515624999998,10,100,10,3
3.8158203125,2.4837890624999996,2,0.138671875,1.6603515624999998,10,100,10,0
3.8158203125,2.4837890624999996,0,0.138671875,1.6603515624999998,10,100,10,4
3.8158203125,2.4837890624999996,2,0.138671875,1.6603515624999998,10,100,10,5
3.8158203125,2.4837890624999996,1,0.138671875,1.6603515624999998,10,100,10,2
3.8158203125,2.4837890624999996,0,0.138671875,1.6603515624999998,10,100,10,3
3.8158203125,2.4837890624999996,2,0.138671875,1.6603515624999998,10,100,10,5
3.8158203125,2.4837890624999996,1,0.138671875,1.6603515624999998,10,100,10,3
3.8158203125,2.4837890624999996,0,0.138671875,1.6603515624999998,10,100,10,25
2.6533203125,2.8712890625,1,0.013671875,2.8228515625,10,100,10,4
2.6533203125,2.8712890625,0,0.013671875,2.8228515625,10,100,10,10
3.8158203125,2.4837890624999996,2,0.138671875,1.6603515624999998,10,100,10,17
3.8158203125,2.4837890624999996,1,0.138671875,1.6603515624999998,10,100,10,14
3.8158203125,2.4837890624999996,0,0.138671875,1.6603515624999998,10,100,10,2
3.8158203125,2.4837890624999996,2,0.138671875,1.6603515624999998,10,100,10,12
3.8158203125,2.4837890624999996,1,0.138671875,1.6603515624999998,10,100,10,15
3.8158203125,2.4837890624999996,0,0.138671875,1.6603515624999998,10,100,10,4
3.8158203125,2.4837890624999996,2,0.138671875,1.6603515624999998,10,100,10,1
3.8158203125,2.4837890624999996,1,0.138671875,1.6603515624999998,10,100,10,11
3.8158203125,2.4837890624999996,0,0.138671875,1.6603515624999998,10,100,10,6
2.6533203125,2.8712890625,2,0.013671875,2.8228515625,10,100,10,32
3.8158203125,2.4837890624999996,2,0.138671875,1.6603515624999998,10,100,10,10
3.8158203125,2.4837890624999996,1,0.138671875,1.6603515624999998,10,100,10,7
2.6533203125,2.8712890625,1,0.013671875,2.8228515625,10,100,10,11
2.6533203125,2.8712890625,2,0.013671875,2.8228515625,10,100,10,4
2.6533203125,2.8712890625,0,0.013671875,2.8228515625,10,100,10,15
2.6533203125,2.8712890625,2,0.013671875,2.8228515625,10,100,10,23
2.6533203125,2.8712890625,1,0.013671875,2.8228515625,10,100,10,4
2.6533203125,2.8712890625,0,0.013671875,2.8228515625,10,100,10,3
2.6533203125,2.8712890625,2,0.013671875,2.8228515625,10,100,10,13
2.6533203125,2.8712890625,0,0.013671875,2.8228515625,10,100,10,11
2.6533203125,2.8712890625,1,0.013671875,2.8228515625,10,100,10,8
2.6533203125,2.8712890625,0,0.013671875,2.8228515625,10,100,10,20
2.6533203125,2.8712890625,1,0.013671875,2.8228515625,10,100,10,3
2.6533203125,2.8712890625,2,0.013671875,2.8228515625,10,100,10,26
2.6533203125,2.8712890625,0,0.013671875,2.8228515625,10,100,10,32
2.6533203125,2.8712890625,2,0.013671875,2.8228515625,10,100,10,3
2.6533203125,2.8712890625,1,0.013671875,2.8228515625,10,100,10,8
2.6533203125,2.8712890625,0,0.013671875,2.8228515625,10,100,10,4
2.6533203125,2.8712890625,1,0.013671875,2.8228515625,10,100,10,9
2.6533203125,2.8712890625,2,0.013671875,2.8228515625,10,100,10,16
2.6533203125,2.8712890625,1,0.013671875,2.8228515625,10,100,10,11
2.6533203125,2.8712890625,0,0.013671875,2.8228515625,10,100,10,5
2.6533203125,2.8712890625,1,0.013671875,2.8228515625,10,100,10,12
2.6533203125,2.8712890625,0,0.013671875,2.8228515625,10,100,10,9
2.6533203125,2.8712890625,2,0.013671875,2.8228515625,10,100,10,4
2.6533203125,2.8712890625,1,0.013671875,2.8228515625,10,100,10,16
2.6533203125,2.8712890625,2,0.013671875,2.8228515625,10,100,10,26
2.6533203125,2.8712890625,0,0.013671875,2.8228515625,10,100,10,23
2.6533203125,2.8712890625,2,0.013671875,2.8228515625,10,100,10,6
4.2033203125,4.4212890625,1,0.513671875,4.3728515625,10,100,10,4
4.2033203125,4.4212890625,2,0.513671875,4.3728515625,10,100,10,10
4.2033203125,4.4212890625,0,0.513671875,4.3728515625,10,100,10,4
4.2033203125,4.4212890625,2,0.513671875,4.3728515625,10,100,10,0
4.2033203125,4.4212890625,1,0.513671875,4.3728515625,10,100,10,3
4.2033203125,4.4212890625,0,0.513671875,4.3728515625,10,100,10,23
4.2033203125,4.4212890625,2,0.513671875,4.3728515625,10,100,10,7
4.2033203125,4.4212890625,1,0.513671875,4.3728515625,10,100,10,5
4.2033203125,4.4212890625,0,0.513671875,4.3728515625,10,100,10,9
4.2033203125,4.4212890625,2,0.513671875,4.3728515625,10,100,10,2
4.2033203125,4.4212890625,0,0.513671875,4.3728515625,10,100,10,12
4.2033203125,4.4212890625,1,0.513671875,4.3728515625,10,100,10,5
4.2033203125,4.4212890625,0,0.513671875,4.3728515625,10,100,10,8
4.2033203125,4.4212890625,2,0.513671875,4.3728515625,10,100,10,7
4.2033203125,4.4212890625,1,0.513671875,4.3728515625,10,100,10,5
4.2033203125,4.4212890625,0,0.513671875,4.3728515625,10,100,10,4
4.2033203125,4.4212890625,2,0.513671875,4.3728515625,10,100,10,7
4.2033203125,4.4212890625,1,0.513671875,4.3728515625,10,100,10,3
4.2033203125,4.4212890625,1,0.513671875,4.3728515625,10,100,10,3
4.2033203125,4.4212890625,0,0.513671875,4.3728515625,10,100,10,9
4.2033203125,4.4212890625,2,0.513671875,4.3728515625,10,100,10,5
4.2033203125,4.4212890625,1,0.513671875,4.3728515625,10,100,10,2
4.2033203125,4.4212890625,0,0.513671875,4.3728515625,10,100,10,2
4.2033203125,4.4212890625,2,0.513671875,4.3728515625,10,100,10,5
4.2033203125,4.4212890625,1,0.513671875,4.3728515625,10,100,10,5
4.2033203125,4.4212890625,0,0.513671875,4.3728515625,10,100,10,4
4.2033203125,4.4212890625,0,0.513671875,4.3728515625,10,100,10,9
4.2033203125,4.4212890625,2,0.513671875,4.3728515625,10,100,10,3
1.8783203124999999,3.6462890625,0,0.263671875,2.0478515625,10,100,10,39
1.8783203124999999,3.6462890625,2,0.263671875,2.0478515625,10,100,10,4
1.8783203124999999,3.6462890625,1,0.263671875,2.0478515625,10,100,10,5
1.8783203124999999,3.6462890625,0,0.263671875,2.0478515625,10,100,10,9
4.2033203125,4.4212890625,2,0.513671875,4.3728515625,10,100,10,6
4.2033203125,4.4212890625,1,0.513671875,4.3728515625,10,100,10,6
1.8783203124999999,3.6462890625,1,0.263671875,2.0478515625,10,100,10,10
1.8783203124999999,3.6462890625,0,0.263671875,2.0478515625,10,100,10,5
1.8783203124999999,3.6462890625,2,0.263671875,2.0478515625,10,100,10,6
1.8783203124999999,3.6462890625,2,0.263671875,2.0478515625,10,100,10,21
1.8783203124999999,3.6462890625,1,0.263671875,2.0478515625,10,100,10,5
1.8783203124999999,3.6462890625,1,0.263671875,2.0478515625,10,100,10,1
1.8783203124999999,3.6462890625,2,0.263671875,2.0478515625,10,100,10,0
1.8783203124999999,3.6462890625,0,0.263671875,2.0478515625,10,100,10,7
1.8783203124999999,3.6462890625,2,0.263671875,2.0478515625,10,100,10,8
1.8783203124999999,3.6462890625,1,0.263671875,2.0478515625,10,100,10,14
1.8783203124999999,3.6462890625,0,0.263671875,2.0478515625,10,100,10,52
1.8783203124999999,3.6462890625,0,0.263671875,2.0478515625,10,100,10,11
1.8783203124999999,3.6462890625,1,0.263671875,2.0478515625,10,100,10,3
1.8783203124999999,3.6462890625,2,0.263671875,2.0478515625,10,100,10,11
1.8783203124999999,3.6462890625,1,0.263671875,2.0478515625,10,100,10,4
1.8783203124999999,3.6462890625,0,0.263671875,2.0478515625,10,100,10,28
1.8783203124999999,3.6462890625,2,0.263671875,2.0478515625,10,100,10,23
1.8783203124999999,3.6462890625,1,0.263671875,2.0478515625,10,100,10,8
1.8783203124999999,3.6462890625,0,0.263671875,2.0478515625,10,100,10,2
1.8783203124999999,3.6462890625,2,0.263671875,2.0478515625,10,100,10,9
3.4283203125,2.0962890625,0,0.763671875,3.5978515625,10,100,10,5
1.8783203124999999,3.6462890625,1,0.263671875,2.0478515625,10,100,10,14
1.8783203124999999,3.6462890625,0,0.263671875,2.0478515625,10,100,10,27
1.8783203124999999,3.6462890625,2,0.263671875,2.0478515625,10,100,10,4
1.8783203124999999,3.6462890625,1,0.263671875,2.0478515625,10,100,10,17
1.8783203124999999,3.6462890625,0,0.263671875,2.0478515625,10,100,10,11
1.8783203124999999,3.6462890625,2,0.263671875,2.0478515625,10,100,10,22
3.4283203125,2.0962890625,0,0.763671875,3.5978515625,10,100,10,17
3.4283203125,2.0962890625,2,0.763671875,3.5978515625,10,100,10,10
3.4283203125,2.0962890625,1,0.763671875,3.5978515625,10,100,10,3
3.4283203125,2.0962890625,0,0.763671875,3.5978515625,10,100,10,3
3.4283203125,2.0962890625,1,0.763671875,3.5978515625,10,100,10,4
3.4283203125,2.0962890625,2,0.763671875,3.5978515625,10,100,10,9
3.4283203125,2.0962890625,1,0.763671875,3.5978515625,10,100,10,2
3.4283203125,2.0962890625,0,0.763671875,3.5978515625,10,100,10,7
3.4283203125,2.0962890625,2,0.763671875,3.5978515625,10,100,10,1
3.4283203125,2.0962890625,1,0.763671875,3.5978515625,10,100,10,5
3.4283203125,2.0962890625,0,0.763671875,3.5978515625,10,100,10,13
3.4283203125,2.0962890625,2,0.763671875,3.5978515625,10,100,10,4
3.4283203125,2.0962890625,1,0.763671875,3.5978515625,10,100,10,3
3.4283203125,2.0962890625,0,0.763671875,3.5978515625,10,100,10,6
3.4283203125,2.0962890625,2,0.763671875,3.5978515625,10,100,10,4
3.4283203125,2.0962890625,1,0.763671875,3.5978515625,10,100,10,8
3.4283203125,2.0962890625,2,0.763671875,3.5978515625,10,100,10,6
2.4595703125,1.9025390624999998,2,0.576171875,1.8541015625,10,100,10,8
2.4595703125,1.9025390624999998,1,0.576171875,1.8541015625,10,100,10,8
2.4595703125,1.9025390624999998,0,0.576171875,1.8541015625,10,100,10,9
3.4283203125,2.0962890625,2,0.763671875,3.5978515625,10,100,10,15
3.4283203125,2.0962890625,1,0.763671875,3.5978515625,10,100,10,10
3.4283203125,2.0962890625,0,0.763671875,3.5978515625,10,100,10,1
3.4283203125,2.0962890625,2,0.763671875,3.5978515625,10,100,10,3
3.4283203125,2.0962890625,1,0.763671875,3.5978515625,10,100,10,4
3.4283203125,2.0962890625,0,0.763671875,3.5978515625,10,100,10,14
3.4283203125,2.0962890625,2,0.763671875,3.5978515625,10,100,10,0
2.4595703125,1.9025390624999998,0,0.576171875,1.8541015625,10,100,10,17
3.4283203125,2.0962890625,1,0.763671875,3.5978515625,10,100,10,9
1.7874999999999999,3.3375,2,0.625,4.1125,10,100,10,5
1.7874999999999999,3.3375,0,0.625,4.1125,10,100,10,12
1.7874999999999999,3.3375,1,0.625,4.1125,10,100,10,6
1.7874999999999999,3.3375,2,0.625,4.1125,10,100,10,4
1.7874999999999999,3.3375,0,0.625,4.1125,10,100,10,10
1.7874999999999999,3.3375,1,0.625,4.1125,10,100,10,2
1.7874999999999999,3.3375,2,0.625,4.1125,10,100,10,19
1.7874999999999999,3.3375,0,0.625,4.1125,10,100,10,8
1.7874999999999999,3.3375,1,0.625,4.1125,10,100,10,12
1.7874999999999999,3.3375,2,0.625,4.1125,10,100,10,7
3.3375,1.7874999999999999,0,0.125,2.5625,10,100,10,3
3.3375,1.7874999999999999,1,0.125,2.5625,10,100,10,2
3.3375,1.7874999999999999,2,0.125,2.5625,10,100,10,18
3.3375,1.7874999999999999,0,0.125,2.5625,10,100,10,24
3.3375,1.7874999999999999,1,0.125,2.5625,10,100,10,4
3.3375,1.7874999999999999,2,0.125,2.5625,10,100,10,3
3.3375,1.7874999999999999,0,0.125,2.5625,10,100,10,2
3.3375,1.7874999999999999,1,0.125,2.5625,10,100,10,3
3.3375,1.7874999999999999,2,0.125,2.5625,10,100,10,13
3.3375,1.7874999999999999,0,0.125,2.5625,10,100,10,14
3.3375,1.7874999999999999,1,0.125,2.5625,10,100,10,6
3.3375,1.7874999999999999,2,0.125,2.5625,10,100,10,5
3.3375,1.7874999999999999,0,0.125,2.5625,10,100,10,6
3.3375,1.7874999999999999,1,0.125,2.5625,10,100,10,11
3.3375,1.7874999999999999,2,0.125,2.5625,10,100,10,6
3.3375,1.7874999999999999,0,0.125,2.5625,10,100,10,4
3.3375,1.7874999999999999,1,0.125,2.5625,10,100,10,3
3.3375,1.7874999999999999,2,0.125,2.5625,10,100,10,2
3.3375,1.7874999999999999,0,0.125,2.5625,10,100,10,8
3.3375,1.7874999999999999,1,0.125,2.5625,10,100,10,10
3.3375,1.7874999999999999,2,0.125,2.5625,10,100,10,31
3.3375,1.7874999999999999,0,0.125,2.5625,10,100,10,13
3.3375,1.7874999999999999,1,0.125,2.5625,10,100,10,13
3.3375,1.7874999999999999,2,0.125,2.5625,10,100,10,4
3.3375,1.7874999999999999,0,0.125,2.5625,10,100,10,14
3.3375,1.7874999999999999,1,0.125,2.5625,10,100,10,8
3.3375,1.7874999999999999,2,0.125,2.5625,10,100,10,9
3.3375,1.7874999999999999,0,0.125,2.5625,10,100,10,7
3.3375,1.7874999999999999,1,0.125,2.5625,10,100,10,2
3.3375,1.7874999999999999,2,0.125,2.5625,10,100,10,13
2.36875,1.98125,0,0.4375,4.30625,10,100,10,2
2.36875,1.98125,1,0.4375,4.30625,10,100,10,9
2.36875,1.98125,2,0.4375,4.30625,10,100,10,9
2.36875,1.98125,0,0.4375,4.30625,10,100,10,19
2.36875,1.98125,1,0.4375,4.30625,10,100,10,10
2.36875,1.98125,2,0.4375,4.30625,10,100,10,7
2.36875,1.98125,0,0.4375,4.30625,10,100,10,3
2.36875,1.98125,1,0.4375,4.30625,10,100,10,2
2.36875,1.98125,2,0.4375,4.30625,10,100,10,30
2.36875,1.98125,0,0.4375,4.30625,10,100,10,9
2.36875,1.98125,1,0.4375,4.30625,10,100,10,5
2.36875,1.98125,2,0.4375,4.30625,10,100,10,8
2.36875,1.98125,0,0.4375,4.30625,10,100,10,31
2.36875,1.98125,1,0.4375,4.30625,10,100,10,11
2.36875,1.98125,2,0.4375,4.30625,10,100,10,25
2.36875,1.98125,0,0.4375,4.30625,10,100,10,43
2.36875,1.98125,1,0.4375,4.30625,10,100,10,7
2.36875,1.98125,2,0.4375,4.30625,10,100,10,18
2.36875,1.98125,0,0.4375,4.30625,10,100,10,5
2.36875,1.98125,1,0.4375,4.30625,10,100,10,3
2.36875,1.98125,2,0.4375,4.30625,10,100,10,31
2.36875,1.98125,0,0.4375,4.30625,10,100,10,10
2.36875,1.98125,1,0.4375,4.30625,10,100,10,6
2.36875,1.98125,2,0.4375,4.30625,10,100,10,11
2.36875,1.98125,0,0.4375,4.30625,10,100,10,14
2.36875,1.98125,1,0.4375,4.30625,10,100,10,11
2.36875,1.98125,2,0.4375,4.30625,10,100,10,8
2.36875,1.98125,0,0.4375,4.30625,10,100,10,2
2.36875,1.98125,1,0.4375,4.30625,10,100,10,8
2.36875,1.98125,2,0.4375,4.30625,10,100,10,32
3.91875,3.53125,0,0.9375,2.7562499999999996,10,100,10,1
3.91875,3.53125,1,0.9375,2.7562499999999996,10,100,10,4
3.91875,3.53125,2,0.9375,2.7562499999999996,10,100,10,4
3.91875,3.53125,0,0.9375,2.7562499999999996,10,100,10,8
3.91875,3.53125,1,0.9375,2.7562499999999996,10,100,10,6
3.91875,3.53125,2,0.9375,2.7562499999999996,10,100,10,1
3.91875,3.53125,0,0.9375,2.7562499999999996,10,100,10,4
3.91875,3.53125,1,0.9375,2.7562499999999996,10,100,10,2
3.91875,3.53125,2,0.9375,2.7562499999999996,10,100,10,4
3.91875,3.53125,0,0.9375,2.7562499999999996,10,100,10,8
3.91875,3.53125,1,0.9375,2.7562499999999996,10,100,10,0
3.91875,3.53125,2,0.9375,2.7562499999999996,10,100,10,3
3.91875,3.53125,0,0.9375,2.7562499999999996,10,100,10,2
3.91875,3.53125,1,0.9375,2.7562499999999996,10,100,10,2
3.91875,3.53125,2,0.9375,2.7562499999999996,10,100,10,1
3.91875,3.53125,0,0.9375,2.7562499999999996,10,100,10,0
3.91875,3.53125,1,0.9375,2.7562499999999996,10,100,10,3
3.91875,3.53125,2,0.9375,2.7562499999999996,10,100,10,2
3.91875,3.53125,0,0.9375,2.7562499999999996,10,100,10,3
3.91875,3.53125,1,0.9375,2.7562499999999996,10,100,10,3
3.91875,3.53125,2,0.9375,2.7562499999999996,10,100,10,13
3.91875,3.53125,0,0.9375,2.7562499999999996,10,100,10,4
3.91875,3.53125,1,0.9375,2.7562499999999996,10,100,10,0
3.91875,3.53125,2,0.9375,2.7562499999999996,10,100,10,1
3.91875,3.53125,0,0.9375,2.7562499999999996,10,100,10,7
3.91875,3.53125,1,0.9375,2.7562499999999996,10,100,10,3
3.91875,3.53125,2,0.9375,2.7562499999999996,10,100,10,3
3.91875,3.53125,0,0.9375,2.7562499999999996,10,100,10,2
3.91875,3.53125,1,0.9375,2.7562499999999996,10,100,10,5
3.91875,3.53125,2,0.9375,2.7562499999999996,10,100,10,6
1.59375,4.30625,0,0.1875,3.53125,10,100,10,3
1.59375,4.30625,1,0.1875,3.53125,10,100,10,11
1.59375,4.30625,2,0.1875,3.53125,10,100,10,4
1.59375,4.30625,0,0.1875,3.53125,10,100,10,11
1.59375,4.30625,1,0.1875,3.53125,10,100,10,22
1.59375,4.30625,2,0.1875,3.53125,10,100,10,4
1.59375,4.30625,0,0.1875,3.53125,10,100,10,2
1.59375,4.30625,1,0.1875,3.53125,10,100,10,6
1.59375,4.30625,2,0.1875,3.53125,10,100,10,15
1.59375,4.30625,0,0.1875,3.53125,10,100,10,16
1.59375,4.30625,1,0.1875,3.53125,10,100,10,4
1.59375,4.30625,2,0.1875,3.53125,10,100,10,1
1.59375,4.30625,0,0.1875,3.53125,10,100,10,15
1.59375,4.30625,1,0.1875,3.53125,10,100,10,20
1.59375,4.30625,2,0.1875,3.53125,10,100,10,1
1.59375,4.30625,0,0.1875,3.53125,10,100,10,60
1.59375,4.30625,1,0.1875,3.53125,10,100,10,3
1.59375,4.30625,2,0.1875,3.53125,10,100,10,7
1.59375,4.30625,0,0.1875,3.53125,10,100,10,8
1.59375,4.30625,1,0.1875,3.53125,10,100,10,8
1.59375,4.30625,2,0.1875,3.53125,10,100,10,20
1.59375,4.30625,0,0.1875,3.53125,10,100,10,9
1.59375,4.30625,1,0.1875,3.53125,10,100,10,5
1.59375,4.30625,2,0.1875,3.53125,10,100,10,7
1.59375,4.30625,0,0.1875,3.53125,10,100,10,16
1.59375,4.30625,1,0.1875,3.53125,10,100,10,21
1.59375,4.30625,2,0.1875,3.53125,10,100,10,32
1.59375,4.30625,0,0.1875,3.53125,10,100,10,5
1.59375,4.30625,1,0.1875,3.53125,10,100,10,6
1.59375,4.30625,2,0.1875,3.53125,10,100,10,14
3.14375,2.7562499999999996,0,0.6875,1.98125,10,100,10,2
3.14375,2.7562499999999996,1,0.6875,1.98125,10,100,10,3
3.14375,2.7562499999999996,2,0.6875,1.98125,10,100,10,5
3.14375,2.7562499999999996,0,0.6875,1.98125,10,100,10,19
3.14375,2.7562499999999996,1,0.6875,1.98125,10,100,10,4
3.14375,2.7562499999999996,2,0.6875,1.98125,10,100,10,5
3.14375,2.7562499999999996,0,0.6875,1.98125,10,100,10,4
3.14375,2.7562499999999996,1,0.6875,1.98125,10,100,10,3
3.14375,2.7562499999999996,2,0.6875,1.98125,10,100,10,4
3.14375,2.7562499999999996,0,0.6875,1.98125,10,100,10,7
3.14375,2.7562499999999996,1,0.6875,1.98125,10,100,10,7
3.14375,2.7562499999999996,2,0.6875,1.98125,10,100,10,9
3.14375,2.7562499999999996,0,0.6875,1.98125,10,100,10,7
3.14375,2.7562499999999996,1,0.6875,1.98125,10,100,10,7
3.14375,2.7562499999999996,2,0.6875,1.98125,10,100,10,10
3.14375,2.7562499999999996,0,0.6875,1.98125,10,100,10,2
3.14375,2.7562499999999996,1,0.6875,1.98125,10,100,10,5
3.14375,2.7562499999999996,2,0.6875,1.98125,10,100,10,1
3.14375,2.7562499999999996,0,0.6875,1.98125,10,100,10,3
3.14375,2.7562499999999996,1,0.6875,1.98125,10,100,10,5
3.14375,2.7562499999999996,2,0.6875,1.98125,10,100,10,6
3.14375,2.7562499999999996,0,0.6875,1.98125,10,100,10,15
3.14375,2.7562499999999996,1,0.6875,1.98125,10,100,10,5
3.14375,2.7562499999999996,2,0.6875,1.98125,10,100,10,5
3.14375,2.7562499999999996,0,0.6875,1.98125,10,100,10,5
3.14375,2.7562499999999996,1,0.6875,1.98125,10,100,10,6
3.14375,2.7562499999999996,2,0.6875,1.98125,10,100,10,9
3.14375,2.7562499999999996,0,0.6875,1.98125,10,100,10,8
3.14375,2.7562499999999996,1,0.6875,1.98125,10,100,10,6
3.14375,2.7562499999999996,2,0.6875,1.98125,10,100,10,5
1.98125,2.36875,0,0.5625,2.36875,10,100,10,2
1.98125,2.36875,1,0.5625,2.36875,10,100,10,4
1.98125,2.36875,2,0.5625,2.36875,10,100,10,22
1.98125,2.36875,0,0.5625,2.36875,10,100,10,23
1.98125,2.36875,1,0.5625,2.36875,10,100,10,13
1.98125,2.36875,2,0.5625,2.36875,10,100,10,5
1.98125,2.36875,0,0.5625,2.36875,10,100,10,5
1.98125,2.36875,1,0.5625,2.36875,10,100,10,9
1.98125,2.36875,2,0.5625,2.36875,10,100,10,5
1.98125,2.36875,0,0.5625,2.36875,10,100,10,16
1.98125,2.36875,1,0.5625,2.36875,10,100,10,7
1.98125,2.36875,2,0.5625,2.36875,10,100,10,10
1.98125,2.36875,0,0.5625,2.36875,10,100,10,22
1.98125,2.36875,1,0.5625,2.36875,10,100,10,19
1.98125,2.36875,2,0.5625,2.36875,10,100,10,10
1.98125,2.36875,0,0.5625,2.36875,10,100,10,13
1.98125,2.36875,1,0.5625,2.36875,10,100,10,8
1.98125,2.36875,2,0.5625,2.36875,10,100,10,11
1.98125,2.36875,0,0.5625,2.36875,10,100,10,6
1.98125,2.36875,1,0.5625,2.36875,10,100,10,8
1.98125,2.36875,2,0.5625,2.36875,10,100,10,25
1.98125,2.36875,0,0.5625,2.36875,10,100,10,8
1.98125,2.36875,1,0.5625,2.36875,10,100,10,13
1.98125,2.36875,2,0.5625,2.36875,10,100,10,5
1.98125,2.36875,0,0.5625,2.36875,10,100,10,30
1.98125,2.36875,1,0.5625,2.36875,10,100,10,40
1.98125,2.36875,2,0.5625,2.36875,10,100,10,14
1.98125,2.36875,0,0.5625,2.36875,10,100,10,11
1.98125,2.36875,1,0.5625,2.36875,10,100,10,16
1.98125,2.36875,2,0.5625,2.36875,10,100,10,19
3.53125,3.91875,0,0.0625,3.91875,10,100,10,7
3.53125,3.91875,1,0.0625,3.91875,10,100,10,4
3.53125,3.91875,2,0.0625,3.91875,10,100,10,12
3.53125,3.91875,0,0.0625,3.91875,10,100,10,9
