armyPerception,civilianPerception,percentCivilianGlassesWearers,redCrossPerception,totalNumberArmy,totalNumberCivilians,totalNumberRedCross,totalZombified
3.5009765625,1.7330078125,0.255859375,2.5080078125,10,100,10,19
3.5009765625,1.7330078125,0.255859375,2.5080078125,10,100,10,11
3.5009765625,1.7330078125,0.255859375,2.5080078125,10,100,10,13
1.8541015625,1.6361328124999999,0.724609375,3.5736328125,10,100,10,3
1.8541015625,1.6361328124999999,0.724609375,3.5736328125,10,100,10,4
1.8541015625,1.6361328124999999,0.724609375,3.5736328125,10,100,10,22
1.8541015625,1.6361328124999999,0.724609375,3.5736328125,10,100,10,9
1.8541015625,1.6361328124999999,0.724609375,3.5736328125,10,100,10,8
1.8541015625,1.6361328124999999,0.724609375,3.5736328125,10,100,10,15
1.8541015625,1.6361328124999999,0.724609375,3.5736328125,10,100,10,8
1.8541015625,1.6361328124999999,0.724609375,3.5736328125,10,100,10,8
1.8541015625,1.6361328124999999,0.724609375,3.5736328125,10,100,10,18
1.8541015625,1.6361328124999999,0.724609375,3.5736328125,10,100,10,20
3.4041015625,3.1861328125,0.224609375,2.0236328125,10,100,10,4
3.4041015625,3.1861328125,0.224609375,2.0236328125,10,100,10,4
3.4041015625,3.1861328125,0.224609375,2.0236328125,10,100,10,3
3.4041015625,3.1861328125,0.224609375,2.0236328125,10,100,10,5
3.4041015625,3.1861328125,0.224609375,2.0236328125,10,100,10,3
3.4041015625,3.1861328125,0.224609375,2.0236328125,10,100,10,3
3.4041015625,3.1861328125,0.224609375,2.0236328125,10,100,10,3
3.4041015625,3.1861328125,0.224609375,2.0236328125,10,100,10,7
3.4041015625,3.1861328125,0.224609375,2.0236328125,10,100,10,8
3.4041015625,3.1861328125,0.224609375,2.0236328125,10,100,10,22
2.6291015625,3.9611328125,0.974609375,4.3486328125,10,100,10,3
2.6291015625,3.9611328125,0.974609375,4.3486328125,10,100,10,4
2.6291015625,3.9611328125,0.974609375,4.3486328125,10,100,10,3
2.6291015625,3.9611328125,0.974609375,4.3486328125,10,100,10,6
2.6291015625,3.9611328125,0.974609375,4.3486328125,10,100,10,2
2.6291015625,3.9611328125,0.974609375,4.3486328125,10,100,10,6
2.6291015625,3.9611328125,0.974609375,4.3486328125,10,100,10,3
2.6291015625,3.9611328125,0.974609375,4.3486328125,10,100,10,4
2.6291015625,3.9611328125,0.974609375,4.3486328125,10,100,10,7
2.6291015625,3.9611328125,0.974609375,4.3486328125,10,100,10,3
4.1791015625,2.4111328125,0.474609375,2.7986328125,10,100,10,3
4.1791015625,2.4111328125,0.474609375,2.7986328125,10,100,10,10
4.1791015625,2.4111328125,0.474609375,2.7986328125,10,100,10,4
4.1791015625,2.4111328125,0.474609375,2.7986328125,10,100,10,5
4.1791015625,2.4111328125,0.474609375,2.7986328125,10,100,10,3
4.1791015625,2.4111328125,0.474609375,2.7986328125,10,100,10,3
4.1791015625,2.4111328125,0.474609375,2.7986328125,10,100,10,4
4.1791015625,2.4111328125,0.474609375,2.7986328125,10,100,10,11
4.1791015625,2.4111328125,0.474609375,2.7986328125,10,100,10,6
4.1791015625,2.4111328125,0.474609375,2.7986328125,10,100,10,10
2.2416015625,2.7986328125,0.349609375,1.6361328124999999,10,100,10,5
2.2416015625,2.7986328125,0.349609375,1.6361328124999999,10,100,10,6
2.2416015625,2.7986328125,0.349609375,1.6361328124999999,10,100,10,6
2.2416015625,2.7986328125,0.349609375,1.6361328124999999,10,100,10,11
2.2416015625,2.7986328125,0.349609375,1.6361328124999999,10,100,10,11
2.2416015625,2.7986328125,0.349609375,1.6361328124999999,10,100,10,3
2.2416015625,2.7986328125,0.349609375,1.6361328124999999,10,100,10,6
2.2416015625,2.7986328125,0.349609375,1.6361328124999999,10,100,10,24
2.2416015625,2.7986328125,0.349609375,1.6361328124999999,10,100,10,8
2.2416015625,2.7986328125,0.349609375,1.6361328124999999,10,100,10,5
3.7916015625,4.3486328125,0.849609375,3.1861328125,10,100,10,3
3.7916015625,4.3486328125,0.849609375,3.1861328125,10,100,10,6
3.7916015625,4.3486328125,0.849609375,3.1861328125,10,100,10,1
3.7916015625,4.3486328125,0.849609375,3.1861328125,10,100,10,4
3.7916015625,4.3486328125,0.849609375,3.1861328125,10,100,10,1
3.7916015625,4.3486328125,0.849609375,3.1861328125,10,100,10,3
3.7916015625,4.3486328125,0.849609375,3.1861328125,10,100,10,5
3.7916015625,4.3486328125,0.849609375,3.1861328125,10,100,10,3
3.7916015625,4.3486328125,0.849609375,3.1861328125,10,100,10,2
3.7916015625,4.3486328125,0.849609375,3.1861328125,10,100,10,5
1.4666015625,3.5736328125,0.099609375,2.4111328125,10,100,10,5
1.4666015625,3.5736328125,0.099609375,2.4111328125,10,100,10,5
1.4666015625,3.5736328125,0.099609375,2.4111328125,10,100,10,23
1.4666015625,3.5736328125,0.099609375,2.4111328125,10,100,10,6
1.4666015625,3.5736328125,0.099609375,2.4111328125,10,100,10,17
1.4666015625,3.5736328125,0.099609375,2.4111328125,10,100,10,10
1.4666015625,3.5736328125,0.099609375,2.4111328125,10,100,10,10
