evolution_generation,humanInformedRatio,humanInformProbability,humanFollowProbability,rescuedDynamic,evolution_samples
100,0.09555719625545256,0.13198971913385052,0.1588189370688286,13.139999999999993,4
100,0.2613059943303635,0.42828664732261057,0.8008431612184947,77.48666666666664,12
100,0.026356480690803884,0.1888026777524985,0.7162923904585335,28.46,5
100,0.3591275293485616,0.1804830468933467,0.5088330905087961,29.78666666666666,9
1000,0.04601270017818109,0.1523664162394554,0.3333819111681843,7.34924731182796,93
1000,0.20218810846200533,0.07553183633118352,1.0,9.03,100
1100,0.04034692215662693,0.2419808614063516,0.25050627482349924,9.808571428571428,14
1100,0.042257770999328426,0.15119958754621005,0.7165873645168521,9.96,100
1200,0.04070136510523212,0.16134230711867498,0.39728748788009355,9.059999999999999,100
1300,0.042257770999328426,0.15119958754621005,0.7165873645168521,9.02,100
1400,0.08789613008285148,0.10669351955927454,0.34970524727085084,8.837808219178086,73
1400,0.042257770999328426,0.15119958754621005,0.7165873645168521,9.599999999999998,100
1500,0.03651103976408869,0.16167157091343456,0.3898367040229621,9.029999999999998,100
1600,0.03651103976408869,0.16167157091343456,0.3898367040229621,7.4199999999999955,100
1700,0.03651103976408869,0.16167157091343456,0.3898367040229621,8.219999999999992,100
1800,0.08789613008285148,0.10669351955927454,0.34970524727085084,4.939999999999993,100
1900,0.08789613008285148,0.10669351955927454,0.34970524727085084,3.7200000000000006,100
200,0.09555719625545256,0.13198971913385052,0.1588189370688286,13.139999999999993,4
200,1.0,0.0,0.0,80.43833333333336,24
200,0.2682480621493386,0.046965547273060904,0.5898744553202141,15.099999999999994,5
200,0.3909245649528803,0.05119239189633463,0.5107198769769596,20.466666666666665,6
200,0.8297918843578216,0.5971234175121085,0.7541670568368597,72.95333333333335,12
200,0.3591275293485616,0.1804830468933467,0.5088330905087961,29.78666666666666,9
2000,0.08789613008285148,0.10669351955927454,0.34970524727085084,5.429999999999996,100
2100,0.09760745657437102,0.1022881550510683,0.14746538002857562,6.349999999999998,100
2200,0.042257770999328426,0.15119958754621005,0.7165873645168521,5.8500000000000005,100
2300,0.06753216651216795,0.13212031909309013,0.24983866015362136,5.8051612903225775,62
2300,0.042257770999328426,0.15119958754621005,0.7165873645168521,6.969999999999996,100
2400,0.06753216651216795,0.13212031909309013,0.24983866015362136,7.667659574468081,94
2400,0.09760745657437102,0.1022881550510683,0.14746538002857562,9.339999999999995,100
2500,0.08210235430623194,0.10303637365626273,0.1262899891236025,8.099999999999994,100
2600,0.08789613008285148,0.10669351955927454,0.34970524727085084,7.099999999999999,100
2700,0.09715621686882246,0.10256581258664577,0.15094128633249268,7.959999999999992,100
2800,0.09715621686882246,0.10256581258664577,0.15094128633249268,9.209999999999994,100
2900,0.08789613008285148,0.10669351955927454,0.34970524727085084,6.959999999999995,100
300,0.042257770999328426,0.15119958754621005,0.7165873645168521,11.56620689655172,29
300,0.026356480690803884,0.1888026777524985,0.7162923904585335,14.734358974358976,39
300,0.02349513538890649,0.23126909836144108,0.7162755166823773,25.31818181818182,44
3000,0.08789613008285148,0.10669351955927454,0.34970524727085084,7.189999999999998,100
3100,0.08789613008285148,0.10669351955927454,0.34970524727085084,7.36,100
3200,0.09760745657437102,0.1022881550510683,0.14746538002857562,6.799999999999999,100
3300,0.20218810846200533,0.07553183633118352,1.0,8.69999999999999,100
3400,0.06471892590786453,0.13103186662486918,0.3444667143148835,8.37999999999999,100
3500,0.06471892590786453,0.13103186662486918,0.3444667143148835,8.769999999999994,100
3600,0.08867800492868327,0.1051386750517323,0.32103209267333926,6.109999999999997,100
3700,0.08867800492868327,0.1051386750517323,0.32103209267333926,5.950000000000001,100
3800,0.04601270017818109,0.1523664162394554,0.3333819111681843,6.979999999999992,100
3900,0.09715621686882246,0.10256581258664577,0.15094128633249268,6.8599999999999985,100
400,1.0,0.0,0.0,89.75,100
400,0.042257770999328426,0.15119958754621005,0.7165873645168521,10.72813559322034,59
400,0.026356480690803884,0.1888026777524985,0.7162923904585335,17.06322580645161,62
400,0.02349513538890649,0.23126909836144108,0.7162755166823773,20.87012987012987,77
4000,0.042257770999328426,0.15119958754621005,0.7165873645168521,5.780000000000003,100
500,0.042257770999328426,0.15119958754621005,0.7165873645168521,12.245000000000003,88
500,0.02349513538890649,0.23126909836144108,0.7162755166823773,20.459999999999997,100
600,0.13465984409042675,0.1112829505221822,0.2591067974362769,12.270943396226416,53
600,0.28110177885111126,0.0761377327487585,1.0,13.082040816326531,98
600,0.042257770999328426,0.15119958754621005,0.7165873645168521,14.839999999999993,100
700,0.0410027218951068,0.16082976800374338,0.38856255256433037,10.502857142857138,63
700,0.03651103976408869,0.16167157091343456,0.3898367040229621,13.764166666666668,96
700,0.042257770999328426,0.15119958754621005,0.7165873645168521,17.3,100
800,0.21709079509895482,0.052447859357897704,0.5033218759346583,9.817894736842103,19
800,0.042257770999328426,0.15119958754621005,0.7165873645168521,10.909999999999997,100
800,0.04601270017818109,0.1523664162394554,0.3333819111681843,10.003333333333332,24
900,0.042257770999328426,0.15119958754621005,0.7165873645168521,7.199999999999998,100
